City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,kazanskaya,45.4106,40.4361,9.43,83,{'all': 63},"{'speed': 2.49, 'deg': 102, 'gust': 4.7}",RU,1681265275
158,fortuna,40.5982,-124.1573,10.92,69,{'all': 7},"{'speed': 2.68, 'deg': 338, 'gust': 5.36}",US,1681265275
159,balfour,-26.6633,28.5902,5.21,35,{'all': 79},"{'speed': 1.12, 'deg': 88, 'gust': 1.08}",ZA,1681265275
160,cidreira,-30.1811,-50.2056,23.04,87,{'all': 88},"{'speed': 6.22, 'deg': 40, 'gust': 10.33}",BR,1681265069
161,cascais,38.6979,-9.4215,16.39,89,{'all': 7},"{'speed': 7.15, 'deg': 340, 'gust': 0}",PT,1681265276
162,laguna,38.421,-121.4238,20.08,53,{'all': 0},"{'speed': 5.14, 'deg': 210, 'gust': 7.72}",US,1681265276
163,bambous virieux,-20.3428,57.7575,25.14,94,{'all': 40},"{'speed': 1.54, 'deg': 70}",MU,1681265103
164,alice springs,-23.7,133.8833,26.75,32,{'all': 40},"{'speed': 2.57, 'deg': 80}",AU,1681265277
165,high prairie,55.4334,-116.4858,4.48,62,{'all': 100},"{'speed': 2.09, 'deg': 310, 'gust': 2.44}",CA,1681265277
166,srednekolymsk,67.45,153.6833,-14.48,79,{'all': 23},"{'speed': 2.12, 'deg': 54, 'gust': 1.94}",RU,1681265277
167,nikolskoye,59.7035,30.7861,6.0,82,{'all': 100},"{'speed': 1.22, 'deg': 108, 'gust': 1.31}",RU,1681265099
168,buin,-33.7333,-70.75,22.29,79,{'all': 99},"{'speed': 0.99, 'deg': 284, 'gust': 0.97}",CL,1681265040
169,mount isa,-20.7333,139.5,32.87,19,{'all': 100},"{'speed': 4.12, 'deg': 30}",AU,1681265278
170,komsomolskiy,40.4272,71.7189,14.4,62,{'all': 100},"{'speed': 2.06, 'deg': 40}",UZ,1681265209
171,neryungri,56.6709,124.6491,-8.3,86,{'all': 100},"{'speed': 3.38, 'deg': 338, 'gust': 4.5}",RU,1681265278
172,boksitogorsk,59.474,33.8485,-2.44,83,{'all': 100},"{'speed': 0.86, 'deg': 244, 'gust': 0.87}",RU,1681265279
